product_id,handle,title,sales_gbp_30d,demand_searches_mo,organic_sessions_30d,profit_margin,matched_condition,seo_priority
4414314971232,ceiling-rose-pendant-light-lamp-fitting,LEDSone Industrial Ratio Green Brass E27 PVC Ceiling Rose Pendant Light~3382,0.0,90,0,N/A (COGS pending),1,Low — flag for review
4414315135072,threaded-lamp-bulb-holder-vintage,LEDSone Industrial Vintage Ration Threaded Lamp Bulb E27 Holder Vintage~3381,0.0,0,0,N/A (COGS pending),1,Low — flag for review
4414315429984,guard-light-wire-ceiling-industrial-black-chandelier-pendant,Lamp Guard Wire Cage Pendant Light Ceiling Hanging Pendant ~3380,0.0,20,0,N/A (COGS pending),1,Low — flag for review
4414315692128,modern-copper-ceiling-light-pendant-lamp-shade,Cafeteria 2m Long Copper Hanging Light Metal Sahded ~3379,0.0,260,1,N/A (COGS pending),6,Low
4414315954272,retro-industrial-table-lamp-rustic-red-water-pipe-lamps-e27-loft-light,Water Pipe Steampunk Table Lamp with Switch~3378,0.0,0,0,N/A (COGS pending),1,Low — flag for review
4414316183648,e27-4w-g80-dimmable-led-vintage-filament-classic-light-bulb,Vintage LED Bulb E27 G80 Dimmable 4W Globe Light Warm White ~3377,230.53,0,5,N/A (COGS pending),1,Low — flag for review
4414316380256,industrial-universal-switching-power-supply-12v-120w-10a-aluminium,Industrial 12V 10A Switching Power Supply 120W Triple Output IP20~3376,0.0,0,2,N/A (COGS pending),1,Low — flag for review
4414316675168,dc12v-ip67-120w-10a-waterproof-led-driver-power-supply-transformer,IP67 DC12V 120W LED Driver Power Supply Transformer~3375,0.0,70,1,N/A (COGS pending),1,Low — flag for review
4417253703776,waterproof-dc12v-ip67-80w-led-driver-power-supply-transformer,IP67 Waterproof 12V 80W LED Driver | Power Supply ~ 3374,10.66,20,2,N/A (COGS pending),1,Low — flag for review
4417253769312,waterproof-dc12v-ip67-100w-8-33a-led-driver-power-supply-transformer,IP67 Waterproof DC 12V 100W LED Driver LED Power Supply Transformer ~3373,23.32,70,0,N/A (COGS pending),1,Low — flag for review
4417253867616,dc12v-24w-ip20-universal-regulated-switching-led-transformer,12V DC Power Supply 24W Driver Regulated ~ 3372,0.0,20,0,N/A (COGS pending),1,Low — flag for review
4417253900384,dc24v-ip67-36w-waterproof-led-driver-power-supply-transformer,Power Supply Transformer DC24V IP67 36W ~3371,0.0,70,0,N/A (COGS pending),1,Low — flag for review
