collection,product_id,title,sales_gbp_30d,demand_searches_mo,organic_sessions_30d,profit_margin,matched_condition,seo_priority
pendant-lights,15086824259970,3-Pack Retro Industrial Style Metal Pendant Ceiling Lights ~6268,1995.12,20,31,N/A (COGS pending),1,Low — flag for review
pendant-lights,4417272086624,"Adjustable Pendant Light – E27 Base, 95cm Cord ~3134",938.61,260,2,N/A (COGS pending),6,Low
pendant-lights,7105746796705,Pool Table Lights Steampunk Metal ~1124,724.71,1000,12,N/A (COGS pending),6,Low
pendant-lights,15023091188098,3 PCs Single Pendant Light E27 Metal ~6150,616.76,170,12,N/A (COGS pending),6,Low
pendant-lights,7982911619322,5 Pack Vintage E27 Pendant Lamp Holder Ceiling Hanging Light~4245,570.57,210,5,N/A (COGS pending),6,Low
pendant-lights,6852374102177,Retro Hemp Rope Pendant E27 Holder Ceiling Light Decor~1358,529.54,20,5,N/A (COGS pending),1,Low — flag for review
pendant-lights,4552643903584,5 Way Industrial Steampunk Pipe Pendant Ceiling Light E27~2368,465.2,480,4,N/A (COGS pending),6,Low
pendant-lights,15260060582274,4-Light Steampunk Flush Mount Pipe Ceiling Light ~6542,457.14,140,11,N/A (COGS pending),6,Low
pendant-lights,15270960234882,5 Light Octopus Pendant Light Spider Lamp ~6580,392.9,20,6,N/A (COGS pending),1,Low — flag for review
pendant-lights,14907263746434,Industrial Black Inner Gold Ceiling Pendant | Easy Fit Retro Light ~ 5713,369.88,110,7,N/A (COGS pending),6,Low
pendant-lights,14934429958530,Vintage Industrial Metal Pendant Light E27 ~5934,354.69,390,4,N/A (COGS pending),6,Low
pendant-lights,15322580779394,2m Industrial Black Inner Gold Ceiling Easy Fit  Pendant Light ~6778,340.42,260,3,N/A (COGS pending),6,Low
pendant-lights,6024708292769,2m E27 Lamp Holder Pendant Light Fitting Round Cable E27 Base Holder~1727,339.47,10,5,N/A (COGS pending),1,Low — flag for review
pendant-lights,15097952764290,Vintage Style Semi Flush Mount Ceiling Light E27 ~6274,337.06,1300,2,N/A (COGS pending),6,Low
pendant-lights,6024708718753,Industrial Twisted Fabric Cable Pendant Light E27 Brass Holder 1m~1715,313.23,20,9,N/A (COGS pending),1,Low — flag for review
pendant-lights,14929097884034,Vintage Retro Metal Shade Pendant Light E27 ~5854,295.49,90,5,N/A (COGS pending),1,Low — flag for review
pendant-lights,7982927741178,"10Pack Brushed Copper Pendant Light,E27 Lamp Holder Hanging Light,PVC Cable~4254",293.43,880,0,N/A (COGS pending),6,Low
pendant-lights,7985931354362,Vintage E27 Pendant Ceiling Light with 95cm Cable ~4398,267.05,90,5,N/A (COGS pending),1,Low — flag for review
pendant-lights,8073532997882,Industrial Hemp Rope Pendant Ceiling Light~5071,262.2,260,0,N/A (COGS pending),6,Low
pendant-lights,8009254797562,Black Inner Gold GU10 Tube Pendant Light 20cm/30cm/40cm~4593,254.66,2900,3,N/A (COGS pending),3,High
pendant-lights,15193556222338,Shaded Pendant Light With Hammered Texture ~6463,236.44,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8103204356346,5-Way Industrial Hanging Pendant Spider Lights ~5126,235.91,590,3,N/A (COGS pending),6,Low
pendant-lights,15330780676482,3 Way Linear Bar Pendant Metal Easy Fit Dimmable ~6796,223.96,,11,N/A (COGS pending),1/6 (demand unmapped; Low either way),Low — flag for review
pendant-lights,8060792013050,Curvy Metal Pendant Light Natural Hemp Rope 2m Adjustable E27 ~5093,211.9,320,1,N/A (COGS pending),6,Low
pendant-lights,14937880330626,Vintage Industrial Hemp Rope Cage Pendant Lamp E27 Adjustable~5949,208.69,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,15279888728450,9-Light Spider Pendant Chandelier | E27 Industrial Lighting ~6668,196.48,480,1,N/A (COGS pending),6,Low
pendant-lights,4599649140832,Industrial Bird Cage Ceiling  Chandelier Loft Pendant Light With FREE Bulb~2256,194.96,20,6,N/A (COGS pending),1,Low — flag for review
pendant-lights,15057932550530,Industrial Hemp Rope Pendant Light - Black Cage  E27 Ceiling Chandelier | Adjustable Height ~6203,191.19,20,3,N/A (COGS pending),1,Low — flag for review
pendant-lights,7716552999162,Industrial Pendant Lighting ~4033,177.81,1600,6,N/A (COGS pending),6,Low
pendant-lights,15217248764290,Industrial Ribbed Glass Globe Pendant Lights | kitchen island ~6513,175.7,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,6614271393953,Modern Pendant Light E27 ~1586,175.37,12100,1,N/A (COGS pending),3,High
pendant-lights,7738421936378,Industrial Vintage Various colours Ceiling Light Fitting E27 Pendant Light ~4050,169.29,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,4417277460576,1M/5M/10M 3 Core Twisted Hemp Fabric Cable Vintage Decorative Flex~3193,166.05,20,4,N/A (COGS pending),1,Low — flag for review
pendant-lights,8070720520442,1/2/6 Head Cage Ceiling Pendant Lamp Swag Spider Hanging Light~5058,155.78,90,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15253041283458,Lantern Shape 1 Light Semi Pendant~6530,152.36,22200,1,N/A (COGS pending),3,High
pendant-lights,7501640532218,Industrial Spider Adjustable Multi Arm Pendant Light 5-Light E27~3399,147.78,390,3,N/A (COGS pending),6,Low
pendant-lights,6810064847009,Industrial Suspended Ceiling Lights Style Glass Pendant Lamp ~1419,145.71,1000,1,N/A (COGS pending),6,Low
pendant-lights,15260848095618,Industrial Copper Pendant Light | Retro Metal Ceiling Shade E27 ~6543,143.46,90,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15264857260418,3 Pack Black Pendant Light Fitting Metal Shaded ~6563,137.97,2900,1,N/A (COGS pending),3,High
pendant-lights,14874198802818,Hemp Rope Cord Pendant Light-E27 Metal Cage Hanging Lamp~5582,137.61,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8106563043578,Industrial cage pendant light for Cafe Bar Restaurant ~ 5134,136.71,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8010954113274,1m/3m/5m/10m 2 Core Twisted Black Fabric Flexible Decorative Cable~4756,119.6,210,1,N/A (COGS pending),6,Low
pendant-lights,15277921960322,Vintage Glass Pendant Light Globe ~6605,118.36,110,1,N/A (COGS pending),6,Low
pendant-lights,7649552269562,Industrial Vintage Modern Metal Retro  E27 Ceiling Grey Barn Slotted Pendant Shade~3737,114.55,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15228000993666,1M Pendant Light Cord Set With Chain ~6523,114.1,12100,1,N/A (COGS pending),3,High
pendant-lights,15326802116994,36cm Metal 1M Hemp Light E27 Dimmable Easy Fit ~6787,112.63,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15222437544322,3 Light Semi Flush Mount Ceiling Light ~6519,112.0,50,4,N/A (COGS pending),1,Low — flag for review
pendant-lights,15270947815810,40cm Large Black Pendant Light With Chain ~6579,109.88,2900,0,N/A (COGS pending),3,High
pendant-lights,7592071201018,Industrial Pipe 3 Light Bar Ceiling Pendant Vintage Steampunk E27 ~3596,106.0,720,1,N/A (COGS pending),6,Low
pendant-lights,15068439216514,4m Plug in Pendant Lighting Metal ~6217,102.02,12100,1,N/A (COGS pending),3,High
pendant-lights,8012324143354,Vintage E27 Bulb Holder Spider Light Fitting Ceiling 2m Hanging Pendant Light ~4907,96.93,260,6,N/A (COGS pending),6,Low
pendant-lights,8163022471418,40cm Retro Metal Dome Pendant Light Mid-Century Modern Kitchen Island~5314,96.86,20,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,14930544394626,Metal Ceiling Pendant Light LED Modern Lamp Shade Hanging Lamp ~5870,96.66,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,5784602575009,Copper Industrial Vintage edison filament lamps pendant~1953,95.72,10,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8010056892666,5 Head Spider shape Multiple Colour pendant Light Flex Swag Hook ~4665,90.4,30,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,7982927806714,"10Pack Black Pendant Light,E27 Lamp Holder Ceiling Hanging Light,PVC Cable~4255",89.19,2900,2,N/A (COGS pending),3,High
pendant-lights,8104214036730,Industrial E27 Pendant Kit Metal Lamp Holder Adjustable Chain Suspension~ 5128,87.74,0,8,N/A (COGS pending),1,Low — flag for review
pendant-lights,4414315692128,Cafeteria 2m Long Copper Hanging Light Metal Sahded ~3379,86.94,260,3,N/A (COGS pending),6,Low
pendant-lights,6054233637025,Various Colour Modern Ceiling Barn Pendant Light ~1642,85.86,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15046948553090,3 Fluming Spider Pendant Light E27 Metal ~6175,79.24,320,5,N/A (COGS pending),6,Low
pendant-lights,8160577388794,3 Way Multi Teardrop Ceiling Pendant Light  ~5295,76.18,10,4,N/A (COGS pending),1,Low — flag for review
pendant-lights,15172186145154,2m Plug in Pendant Light Hemp Rope with Dimmer ~6447,75.4,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8155983446266,3 light Black Industrial Hanging Ceiling Pendant Lights~5264,73.78,20,21,N/A (COGS pending),1,Low — flag for review
pendant-lights,5971602210977,Red Pendant Light Lampshade Ceiling Light Shade With Bulb~1798,72.72,210,2,N/A (COGS pending),6,Low
