staff_name,department,store,shopify_product_id,shopify_product_gid,product_title,product_handle,product_url,product_status,variant_count,variant_ids,variant_gids,skus,collection_count,collection_ids,collection_handles,collection_titles,collection_urls,ownership_method,primary_source,source_updated_at,extracted_at,included_in_current_sales_scope,exclusion_reason
Dilaksi,SEO,ledsone.co.uk,15355088896386,gid://shopify/Product/15355088896386,Industrial Dome Pendant Light with Adjustable Cable Drape ~6821,industrial-cable-drape-ceiling-lamp,https://ledsone.co.uk/products/industrial-cable-drape-ceiling-lamp,ACTIVE,9,56728265851266|56728265884034|56728265916802|56728265949570|56728265982338|56728266015106|56728266047874|56728266080642|56728266113410,gid://shopify/ProductVariant/56728265851266|gid://shopify/ProductVariant/56728265884034|gid://shopify/ProductVariant/56728265916802|gid://shopify/ProductVariant/56728265949570|gid://shopify/ProductVariant/56728265982338|gid://shopify/ProductVariant/56728266015106|gid://shopify/ProductVariant/56728266047874|gid://shopify/ProductVariant/56728266080642|gid://shopify/ProductVariant/56728266113410,ENC4538|ENC4559|ENC4557|ENC4556|ENC4552|ENC4550|ENC4539|ENC4555|ENC4543,1,MISSING_FROM_DB,pendant-lights,Top Pendant Lights & Hanging Lights,https://ledsone.co.uk/collections/pendant-lights,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15346048663938,gid://shopify/Product/15346048663938,4m Long Swag Plug-in Pendant E27 With Swich  ~6813,swag-plug-in-pendant,https://ledsone.co.uk/products/swag-plug-in-pendant,ACTIVE,12,56689391698306|56689391731074|56689391763842|56689391796610|56689391829378|56689391862146|56689391894914|56689391927682|56689391960450|56689391993218|56689392025986|56689392058754,gid://shopify/ProductVariant/56689391698306|gid://shopify/ProductVariant/56689391731074|gid://shopify/ProductVariant/56689391763842|gid://shopify/ProductVariant/56689391796610|gid://shopify/ProductVariant/56689391829378|gid://shopify/ProductVariant/56689391862146|gid://shopify/ProductVariant/56689391894914|gid://shopify/ProductVariant/56689391927682|gid://shopify/ProductVariant/56689391960450|gid://shopify/ProductVariant/56689391993218|gid://shopify/ProductVariant/56689392025986|gid://shopify/ProductVariant/56689392058754,PSOS4YBRPB+LSCY290GR|PSOS4YBRPB+LSCY290OR|PSOS4YBRPB+LSCY290YE|PSOS4YBRPB+LSCY290BU|PSOS4YBRPB+LSCY290YB|PSOS4YBRPB+LSCY290GY|PSOS4YBRPB+LSCY290NB|PSOS4YBRPB+LSCY290RR|PSOS4YBRPB+LSCY290RO|PSOS4YBRPB+LSCY290CH|PSOS4YBRPB+LSCY290CO|PSOS4YBRPB+LSCY290GB,2,MISSING_FROM_DB,pendant-lights|plugin-lighting,Top Pendant Lights & Hanging Lights|Plug-in Lights,https://ledsone.co.uk/collections/pendant-lights|https://ledsone.co.uk/collections/plugin-lighting,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15330780676482,gid://shopify/Product/15330780676482,3 Way Linear Bar Pendant Metal Easy Fit Dimmable ~6796,3-way-linear-bar-pendant,https://ledsone.co.uk/products/3-way-linear-bar-pendant,ACTIVE,8,56624911810946|56624911909250|56624911843714|56624911942018|56624911712642|56624911745410|56624911778178|56624911876482,gid://shopify/ProductVariant/56624911810946|gid://shopify/ProductVariant/56624911909250|gid://shopify/ProductVariant/56624911843714|gid://shopify/ProductVariant/56624911942018|gid://shopify/ProductVariant/56624911712642|gid://shopify/ProductVariant/56624911745410|gid://shopify/ProductVariant/56624911778178|gid://shopify/ProductVariant/56624911876482,ENC6971|ENC6972|ENC6973|ENC6974|ENC6969|ENC6970|ENC6967|ENC6968,1,MISSING_FROM_DB,pendant-lights,Top Pendant Lights & Hanging Lights,https://ledsone.co.uk/collections/pendant-lights,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15326866997634,gid://shopify/Product/15326866997634,Industrial Black Pendant Light E27 Gold Inner Shade ~6789,industrial-black-pendant-light-e27-gold-inner-shade,https://ledsone.co.uk/products/industrial-black-pendant-light-e27-gold-inner-shade,ACTIVE,1,56597779677570,gid://shopify/ProductVariant/56597779677570,CRSF100BM+LSACY195BG,1,MISSING_FROM_DB,pendant-lights,Top Pendant Lights & Hanging Lights,https://ledsone.co.uk/collections/pendant-lights,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15325876486530,gid://shopify/Product/15325876486530,Green Metal E27 Pendant Light Easy Fit ~6783,green-metal-e27-pendant-light,https://ledsone.co.uk/products/green-metal-e27-pendant-light,ACTIVE,2,56592345956738|56592345989506,gid://shopify/ProductVariant/56592345956738|gid://shopify/ProductVariant/56592345989506,CRSF100BM+PHUP1PBRBM+LSHL350LG+ICST64E27|CRSF100BM+PHUP1PBRBM+LSHL350LG,1,MISSING_FROM_DB,pendant-lights,Top Pendant Lights & Hanging Lights,https://ledsone.co.uk/collections/pendant-lights,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15322580779394,gid://shopify/Product/15322580779394,2m Industrial Black Inner Gold Ceiling Easy Fit  Pendant Light ~6778,black-inner-gold-ceiling-pendant,https://ledsone.co.uk/products/black-inner-gold-ceiling-pendant,ACTIVE,2,56580507042178|56580507074946,gid://shopify/ProductVariant/56580507042178|gid://shopify/ProductVariant/56580507074946,ENC9771|CRSF100BM+PHHT2PBRBM+SPUPBM+LSSS300BG,1,MISSING_FROM_DB,pendant-lights,Top Pendant Lights & Hanging Lights,https://ledsone.co.uk/collections/pendant-lights,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15322553713026,gid://shopify/Product/15322553713026,Industrial Black Pendant Light E27 Metal Ceiling Lamp ~6777,industrial-black-pendant-light-e27-metal-ceiling-lamp,https://ledsone.co.uk/products/industrial-black-pendant-light-e27-metal-ceiling-lamp,ACTIVE,1,56580444979586,gid://shopify/ProductVariant/56580444979586,CRSF100BM+PHRB1PBR30BM+LSAFT200BG,1,MISSING_FROM_DB,pendant-lights,Top Pendant Lights & Hanging Lights,https://ledsone.co.uk/collections/pendant-lights,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15312314302850,gid://shopify/Product/15312314302850,Industrial Black Pendant Light  Adjustable E27 Bulb ~6764,industrial-black-pendant-light-adjustable-e27-bulb-6764,https://ledsone.co.uk/products/industrial-black-pendant-light-adjustable-e27-bulb-6764,ACTIVE,1,56540312928642,gid://shopify/ProductVariant/56540312928642,CRSF100BM+PHSH2BMTBM+SPUPBM+LDMG80E274,1,MISSING_FROM_DB,pendant-lights,Top Pendant Lights & Hanging Lights,https://ledsone.co.uk/collections/pendant-lights,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15312219242882,gid://shopify/Product/15312219242882,Industrial Curvy Black Pendant Light E27 Adjustable Cable ~6762,industrial-curvy-black-pendant-light-e27-adjustable-cable,https://ledsone.co.uk/products/industrial-curvy-black-pendant-light-e27-adjustable-cable,ACTIVE,1,56540167897474,gid://shopify/ProductVariant/56540167897474,ENC9725,1,MISSING_FROM_DB,pendant-lights,Top Pendant Lights & Hanging Lights,https://ledsone.co.uk/collections/pendant-lights,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
Dilaksi,SEO,ledsone.co.uk,15309025640834,gid://shopify/Product/15309025640834,E27 Plug In Bohemian Pendant Light 4M Rope Swag Lamp  ~6758,rope-light-fitting,https://ledsone.co.uk/products/rope-light-fitting,ACTIVE,4,56533774860674|56533774893442|56533822177666|56533822210434,gid://shopify/ProductVariant/56533774860674|gid://shopify/ProductVariant/56533774893442|gid://shopify/ProductVariant/56533822177666|gid://shopify/ProductVariant/56533822210434,ENC9764|PSOS4BMTHE+SPUPBM+SPUWBM+LSHM300HE|ENC9765|PSOS4BMTHE+SPUPBM+SPUWBM+LSHM300HE,2,MISSING_FROM_DB,pendant-lights|plugin-lighting,Top Pendant Lights & Hanging Lights|Plug-in Lights,https://ledsone.co.uk/collections/pendant-lights|https://ledsone.co.uk/collections/plugin-lighting,Live Shopify collection membership (24 collections explicitly designated as Dilaksi's SEO product scope by the user),"Shopify Admin GraphQL collectionByHandle query, live, 2026-07-17",2026-07-17,2026-07-17T03:53:04.150Z,true,
